Run,Purity,MIDS,TotalReads(M),lpWGSReads(M),TargetPanelReads(M),%ReadslpWGS,%ReadsPanel,1000x,500x,200x,100x,50x,25x,DupFrac,LowCovRegions,PurityPloidyRatio,ResNoise,SignalNoiseRatio,%VariantFraction,QAStatus_High,QAStatus_Low,QAStatus_Medium,Gene_BRCA1,Gene_BRCA2,Gene_RAD51D,Gene_Unlisted
12,0.0,3,19.7,13.4,6.3,68.0,32.0,96.0,96.0,96.0,96.0,96.0,96.0,58.0,1,0.15,0.06,3.15,0.0,1,0,0,0,0,0,1
12,0.0,6,24.3,16.4,7.9,67.0,33.0,98.0,98.0,98.0,98.0,98.0,98.0,61.0,0,0.3,0.06,4.25,0.0,1,0,0,0,0,0,1
12,80.0,8,16.1,10.7,5.4,67.0,33.0,38.0,38.0,38.0,38.0,38.0,38.0,55.0,2,0.0,0.22,1.21,0.0,0,1,0,0,0,0,1
12,70.0,9,17.0,11.6,5.4,68.0,32.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,0,0.28,0.14,1.66,0.0,1,0,0,0,0,0,1
12,98.0,10,23.5,15.2,8.3,64.0,36.0,47.0,47.0,47.0,47.0,47.0,47.0,65.0,0,0.38,0.18,0.91,0.0,1,0,0,0,0,0,1
12,0.0,11,17.3,12.7,4.6,73.0,27.0,38.0,38.0,38.0,38.0,38.0,38.0,65.0,1,0.0,0.15,1.74,0.0,0,0,1,0,0,0,1
12,60.0,12,21.8,15.2,6.6,70.0,30.0,96.0,96.0,96.0,96.0,96.0,96.0,68.0,0,0.33,0.08,2.58,65.3,1,0,0,0,1,0,0
12,70.0,13,21.9,14.3,7.6,65.0,35.0,97.0,97.0,97.0,97.0,97.0,97.0,66.0,0,0.17,0.11,2.36,51.8,1,0,0,0,1,0,0
12,90.0,14,17.7,12.0,5.7,68.0,32.0,58.0,58.0,58.0,58.0,58.0,58.0,64.0,0,0.38,0.14,1.72,0.0,1,0,0,0,0,0,1
12,50.0,15,20.9,13.9,7.0,67.0,33.0,98.0,98.0,98.0,98.0,98.0,98.0,62.0,0,0.23,0.09,2.98,0.0,1,0,0,0,0,0,1
12,80.0,16,18.0,13.1,4.9,73.0,27.0,42.0,42.0,42.0,42.0,42.0,42.0,64.0,2,0.25,0.19,1.93,0.0,1,0,0,0,0,0,1
12,80.0,17,21.9,16.2,5.7,74.0,26.0,68.0,68.0,68.0,68.0,68.0,68.0,61.0,0,0.28,0.15,2.2,0.0,1,0,0,0,0,0,1
12,95.0,18,18.5,13.5,5.0,73.0,27.0,21.0,21.0,21.0,21.0,21.0,21.0,64.0,8,0.0,0.28,0.7,68.8,0,1,0,0,1,0,0
12,95.0,19,19.0,14.7,4.3,77.0,23.0,14.0,14.0,14.0,14.0,14.0,14.0,71.0,1,0.47,0.17,1.27,0.0,1,0,0,0,0,0,1
12,95.0,20,25.9,19.5,6.4,75.0,25.0,90.0,90.0,90.0,90.0,90.0,90.0,60.0,0,0.35,0.11,1.95,0.0,1,0,0,0,0,0,1
12,60.0,21,23.2,17.5,5.7,76.0,24.0,74.0,74.0,74.0,74.0,74.0,74.0,62.0,0,0.35,0.15,1.59,0.0,1,0,0,0,0,0,1
12,100.0,22,23.0,16.8,6.2,73.0,27.0,46.0,46.0,46.0,46.0,46.0,46.0,64.0,0,0.25,0.15,1.75,0.0,1,0,0,0,0,0,1
12,80.0,24,22.8,16.4,6.4,72.0,28.0,36.0,36.0,36.0,36.0,36.0,36.0,60.0,0,0.0,0.21,1.49,0.0,0,1,0,0,0,0,1
13,80.0,1,18.8,14.2,4.6,76.0,24.0,36.0,36.0,36.0,36.0,36.0,36.0,69.0,0,0.38,0.16,1.53,0.0,1,0,0,0,0,0,1
13,60.0,2,21.5,15.0,6.5,70.0,30.0,46.0,46.0,46.0,46.0,46.0,46.0,74.0,0,0.23,0.13,2,0.0,1,0,0,0,0,0,1
13,0.0,3,18.6,13.9,4.7,75.0,25.0,29.0,29.0,29.0,29.0,29.0,29.0,73.0,0,0.42,0.15,1.94,87.0,1,0,0,1,0,0,0
13,70.0,4,23.1,16.1,7.0,70.0,30.0,81.0,81.0,81.0,81.0,81.0,81.0,60.0,0,0.25,0.15,1.53,0.0,1,0,0,0,0,0,1
13,90.0,5,19.9,14.0,5.9,70.0,30.0,52.0,52.0,52.0,52.0,52.0,52.0,64.0,0,0.28,0.2,1.79,0.0,1,0,0,0,0,0,1
13,30.0,6,17.3,13.0,4.3,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,81,0.2,0.09,2.9,0.0,1,0,0,0,0,0,1
