Sample,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het
200087248-483-S14,99.98%,99.87%,98.83%,92.33%,35.74%,0.28%,221×,0.85%
200087249-491-S15,99.96%,99.30%,95.17%,79.76%,23.62%,0.59%,141×,1.91%
200087250-482-S16,100.00%,100.00%,100.00%,100.00%,99.57%,94.55%,"1,114×",0.02%
200087251-502-S17,100.00%,100.00%,99.81%,98.42%,67.93%,1.80%,349×,0.34%
200087252-484-S18,100.00%,100.00%,99.95%,98.59%,80.94%,19.70%,393×,0.71%
200087253-490-S19,100.00%,99.99%,99.86%,97.38%,16.90%,0.00%,259×,0.07%
200087254-500-S2,100.00%,100.00%,100.00%,99.95%,98.07%,77.51%,763×,0.19%
200087255-503-S20,100.00%,99.94%,99.71%,97.09%,35.05%,1.39%,286×,0.21%
200087256-485-S21,98.27%,90.08%,70.95%,43.10%,12.61%,1.34%,51×,5.33%
200087257-504-S22,100.00%,100.00%,100.00%,99.99%,98.44%,68.99%,808×,0.05%
200087258-497-S23,100.00%,99.98%,99.65%,97.78%,43.72%,0.40%,295×,0.26%
200087259-486-S3,99.94%,99.81%,98.73%,84.34%,5.08%,0.00%,176×,0.28%
200087260-495-S4,97.76%,85.21%,49.77%,12.89%,0.26%,0.00%,43×,1.34%
