Sample,GI_index,QA_status,GI_status,Total(M),WGS(M),%WGS,%CovOut,PPR,RN,SNR,QAStatus,Run,LCR,25x,50x,100x,200x,500x,1000x,Cov_10%_qtile,Cov Het,Duplicate Fraction
200086977-468-S19,-11.9,High,Negative,21.2,16.0,75.2%,0.2%,0.38,0.07,4.26,High,HRD_Run4,0,100.00%,100.00%,100.00%,99.94%,95.83%,56.81%,618×,0.07%,74.43%
200086978-481-S2,-8.4,Medium,Negative*,18.5,14.9,80.9%,0.1%,-,0.08,0.71,Medium,HRD_Run4,3,99.99%,99.97%,99.89%,99.76%,92.67%,25.41%,534×,0.18%,58.82%
200086979-464-S20,-4.9,High,Negative,17.7,12.1,68.1%,1.6%,0.25,0.07,4.08,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.84%,92.63%,"1,105×",0.06%,52.97%
200086980-461-S21,4.1,High,Positive,19.3,14.3,74.2%,2.7%,0.3,0.09,2.45,High,HRD_Run4,0,100.00%,100.00%,100.00%,99.92%,99.30%,78.88%,851×,0.13%,52.98%
200086981-476-S22,3.5,Medium,Positive,17.9,13.4,74.7%,0.2%,-,0.1,2.88,Medium,HRD_Run4,1,100.00%,100.00%,99.99%,99.79%,82.42%,34.94%,422×,0.07%,77.34%
200086982-478-S23,-12.8,High,Negative,20.1,12.9,64.0%,1.5%,0.23,0.1,2.27,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.73%,93.42%,"1,109×",0.10%,58.98%
200086983-475-S24,-15.2,Medium,Negative,20.5,14.3,70.0%,3.1%,-,0.07,1.32,Medium,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.64%,95.42%,"1,205×",0.06%,54.06%
200086984-477-S3,2.4,High,Positive,23.6,16.3,69.0%,3.5%,0.15,0.06,2.5,High,HRD_Run4,0,100.00%,100.00%,100.00%,100.00%,99.98%,98.05%,"1,393×",0.00%,54.89%
200087244-487-S10,-11.4,Medium,Negative*,13.6,12.5,92.0%,0.0%,-,0.08,0.6,Medium,HRD_Run5,34,100.00%,99.91%,99.00%,91.00%,32.68%,0.18%,208×,0.54%,38.46%
200087245-493-S11,-0.9,High,Negative,23.1,19.5,84.5%,1.3%,0.18,0.07,2.11,High,HRD_Run5,0,100.00%,100.00%,100.00%,99.84%,97.32%,66.78%,722×,0.28%,43.16%
